Document_ID,Document_Name,Source_Format,Location,Skills_Using_It,Agent,Category
REF-STD-01,iso-55002-2018-standard.md,PDF,00-knowledge-base/standards/,orchestrate-workflow;validate-quality;conduct-management-review,Multiple,Standards
REF-STD-02,pas-55-2008-standard.md,PDF,00-knowledge-base/standards/,orchestrate-workflow;conduct-management-review,Multiple,Standards
REF-01,ref-01-maintenance-strategy-methodology.md,PDF,00-knowledge-base/methodologies/,assess-criticality;perform-fmeca;perform-fmeca;validate-failure-modes;calculate-priority,Reliability,Methodologies
REF-07,ref-07-work-instruction-templates.md,PDF,00-knowledge-base/methodologies/,prepare-work-packages;prepare-work-packages,Planning,Methodologies
REF-MTD-01,rcm-methodology-full.md,DOCX,00-knowledge-base/methodologies/,perform-fmeca;perform-fmeca,Reliability,Methodologies
REF-MTD-02,r8-tactics-development-process.md,DOCX,00-knowledge-base/methodologies/,perform-fmeca;perform-fmeca,Reliability,Methodologies
REF-MTD-03,r8-deployment-implementation.md,PDF,00-knowledge-base/methodologies/,orchestrate-workflow,Orchestrator,Methodologies
REF-MTD-04,r8-deployment-flowcharts.md,PDF,00-knowledge-base/methodologies/,orchestrate-workflow,Orchestrator,Methodologies
REF-MTD-05,r8-maintenance-optimization.md,PDF,00-knowledge-base/methodologies/,all reliability skills,Reliability,Methodologies
REF-MTD-06,maintenance-tactics-guideline.md,PDF,00-knowledge-base/methodologies/,perform-fmeca;assess-criticality,Reliability,Methodologies
REF-MTD-07,maintenance-tactics-process-map.md,PDF,00-knowledge-base/methodologies/,orchestrate-workflow,Orchestrator,Methodologies
REF-MTD-08,maintenance-readiness-assessment.md,PDF,00-knowledge-base/methodologies/,orchestrate-workflow;conduct-management-review,Multiple,Methodologies
REF-MTD-09,mso-workshop-information.md,DOCX,00-knowledge-base/methodologies/,orchestrate-workflow,Orchestrator,Methodologies
REF-MTD-10,work-instruction-examples-consolidated.md,XLSX,00-knowledge-base/methodologies/,prepare-work-packages,Planning,Methodologies
REF-MTD-11,maintenance-strategy-examples.md,XLSX,00-knowledge-base/methodologies/,perform-fmeca;perform-fmeca,Reliability,Methodologies
REF-02,ref-02-r8-data-model-entities.md,PDF,00-knowledge-base/data-models/,build-equipment-hierarchy;suggest-materials;resolve-equipment;import-data;export-data,Multiple,Data Models
REF-DM-01,failure-modes/MASTER.md,MD,00-knowledge-base/data-models/,validate-failure-modes;perform-fmeca;perform-fmeca;identify-work-request,Multiple,Data Models
REF-DM-02,component-library.md,JSON,00-knowledge-base/data-models/,suggest-materials;build-equipment-hierarchy;identify-work-request,Multiple,Data Models
REF-DM-03,equipment-library.md,JSON,00-knowledge-base/data-models/,resolve-equipment;build-equipment-hierarchy;identify-work-request,Multiple,Data Models
REF-DM-04,spare-parts-criticality-template.md,XLSX,00-knowledge-base/data-models/,optimize-spare-parts-inventory,Spare Parts,Data Models
REF-03,ref-03-sap-pm-integration.md,PDF,00-knowledge-base/integration/,export-to-sap;manage-notifications,Planning,Integration
REF-INT-01,r8-integration-master-plan.md,DOCX,00-knowledge-base/integration/,orchestrate-workflow;export-to-sap,Multiple,Integration
REF-INT-02,sap-r8-setup-guide.md,PDF,00-knowledge-base/integration/,export-to-sap,Planning,Integration
REF-INT-03,sap-upload-templates-reference.md,XLSX,00-knowledge-base/integration/,export-to-sap,Planning,Integration
REF-04,ref-04-quality-validation-rules.md,PDF,00-knowledge-base/quality/,validate-quality,Shared,Quality
REF-QA-01,r8-quality-analysis-guideline.md,PDF,00-knowledge-base/quality/,validate-quality;perform-fmeca,Multiple,Quality
REF-QA-02,mso-checklist.md,XLSX,00-knowledge-base/quality/,validate-quality;orchestrate-workflow,Multiple,Quality
REF-QA-03,quality-management-flowchart.md,XLSX,00-knowledge-base/quality/,validate-quality,Shared,Quality
REF-05,ref-05-client-context-ocp.md,PDF,00-knowledge-base/client/,orchestrate-workflow,Orchestrator,Client
REF-06,ref-06-software-architecture-vision.md,PDF,00-knowledge-base/architecture/,orchestrate-workflow,Orchestrator,Architecture
REF-08,ref-08-user-guide-step-by-step.md,PDF,00-knowledge-base/architecture/,orchestrate-workflow,Orchestrator,Architecture
REF-11,ref-11-neuro-arquitectura-review.md,PDF,00-knowledge-base/architecture/,orchestrate-workflow,Orchestrator,Architecture
REF-13,ref-13-maintenance-manual-methodology.md,PDF,00-knowledge-base/gfsn/,"assess-criticality;perform-fmeca;calculate-kpis;build-equipment-hierarchy;+5 more",Multiple,GFSN
REF-14,ref-14-planning-scheduling-procedure.md,PDF,00-knowledge-base/gfsn/,schedule-weekly-program;group-backlog;calculate-planning-kpis;generate-reports;orchestrate-shutdown,Planning,GFSN
REF-15,ref-15-defect-elimination-procedure.md,PDF,00-knowledge-base/gfsn/,perform-rca;manage-capa;manage-change,Multiple,GFSN
REF-16,ref-16-criticality-analysis-procedure.md,PDF,00-knowledge-base/gfsn/,assess-criticality,Reliability,GFSN
REF-GFSN-01,gfsn-maintenance-manual-full.md,PDF,00-knowledge-base/gfsn/,ALL skills,Multiple,GFSN
REF-GFSN-02,gfsn-criticality-analysis-full-procedure.md,PDF,00-knowledge-base/gfsn/,assess-criticality;calculate-priority,Reliability,GFSN
REF-GFSN-03,gfsn-defect-elimination-full-procedure.md,PDF,00-knowledge-base/gfsn/,perform-rca;manage-capa,Multiple,GFSN
REF-GFSN-04,gfsn-planning-scheduling-full-procedure.md,PDF,00-knowledge-base/gfsn/,schedule-weekly-program;group-backlog,Planning,GFSN
REF-10,ref-10-gecamin-cross-reference.md,PDF,00-knowledge-base/competitive/,orchestrate-workflow,Orchestrator,Competitive
REF-GEC-01,ci-ceremonia-inaugural-palabras-de-bienvenida.md,PDF,00-knowledge-base/competitive/gecamin/,orchestrate-workflow,Orchestrator,Competitive
REF-GEC-02,s1-gestion-activos-infraestructura-enfoque-sistematico.md,PDF,00-knowledge-base/competitive/gecamin/,orchestrate-workflow,Orchestrator,Competitive
REF-GEC-03,s1-gestion-mantenimiento-seguridad-modelos-activos-digitales.md,PDF,00-knowledge-base/competitive/gecamin/,orchestrate-workflow,Orchestrator,Competitive
REF-GEC-04,s1-guillermo-torrales-optimizacion-costos-mantenimiento.md,PDF,00-knowledge-base/competitive/gecamin/,orchestrate-workflow,Orchestrator,Competitive
REF-GEC-05,s1-omar-mejias-gestion-activos-infraestructura.md,PDF,00-knowledge-base/competitive/gecamin/,orchestrate-workflow,Orchestrator,Competitive
REF-GEC-06,s2-ronald-brantt-operate-for-reliability.md,PDF,00-knowledge-base/competitive/gecamin/,orchestrate-workflow,Orchestrator,Competitive
REF-GEC-07,s2-david-silva-operational-readiness-sqm.md,PDF,00-knowledge-base/competitive/gecamin/,orchestrate-workflow,Orchestrator,Competitive
